Filename,File Size (bytes),CPU before (%),CPU after (%),RAM before (MB),RAM after (MB),Processing Time (seconds),Route Type
fileMP4-size1mb,1048576,0.0,2.0,6177.9609375,6178.96875,0.09910035133361816,upload
fileMP4-size1mbJ2rodMZ.mp4,1048592,0.0,7.8,6135.73046875,6135.6640625,0.11310434341430664,download
fileMP4-size5mb,5242880,0.0,9.6,6084.8515625,6098.26953125,0.16661691665649414,upload
fileMP4-size5mbpJJhMD4.mp4,5242896,0.0,1.5,6080.265625,6089.37109375,0.12485671043395996,download
fileMP4-size10mb,10485760,0.0,3.2,6077.6171875,6094.40234375,0.19297337532043457,upload
fileMP4-size10mbNBqkqTu.mp4,10485776,0.0,0.0,6072.07421875,6091.171875,0.1421489715576172,download
fileMP4-size100mb,104857600,0.0,5.4,6042.23046875,6239.37890625,1.0379579067230225,upload
fileMP4-size100mbeLKurCG.mp4,104857616,0.0,10.3,6049.5546875,6248.0,0.4607198238372803,download
filePDF-size1mb,1048576,0.0,9.4,6061.62890625,6062.03125,0.12428021430969238,upload
filePDF-size1mb6eixZfo.pdf,1048592,0.0,11.3,6086.625,6084.6953125,0.11880087852478027,download
filePDF-size5mb,5242880,0.0,13.9,6048.30078125,6054.38671875,0.14396953582763672,upload
filePDF-size5mbLyyW1h3.pdf,5242896,0.0,6.6,6086.28515625,6094.00390625,0.1257493495941162,download
filePDF-size10mb,10485760,0.0,3.7,6130.4921875,6173.58203125,0.20430278778076172,upload
filePDF-size10mbb38iJfe.pdf,10485776,0.0,6.8,6067.375,6085.73828125,0.14607930183410645,download
filePDF-size100mb,104857600,0.0,4.5,6054.90234375,6239.8984375,1.0827653408050537,upload
filePDF-size100mbvJjnADO.pdf,104857616,0.0,7.0,6050.5625,6257.91015625,0.49134254455566406,download
filePNG-size1mb,1048576,0.0,2.4,6134.91015625,6137.76953125,0.07598423957824707,upload
filePNG-size1mbE8rcR1y.png,1048592,0.0,0.0,6133.96484375,6130.48828125,0.1186974048614502,download
filePNG-size5mb,5242880,0.0,14.3,6129.54296875,6139.79296875,0.12854456901550293,upload
filePNG-size5mbp1Bomzw.png,5242896,0.0,11.8,6042.6953125,6052.8515625,0.13535428047180176,download
filePNG-size10mb,10485760,0.0,3.7,6033.375,6044.19921875,0.1579914093017578,upload
filePNG-size10mbmtiDVtz.png,10485776,0.0,7.4,6050.53125,6069.71875,0.1358785629272461,download
filePNG-size100mb,104857600,0.0,5.2,6048.859375,6238.55859375,1.0862436294555664,upload
filePNG-size100mbo4Aywuw.png,104857616,0.0,7.7,6047.38671875,6250.2109375,0.49226880073547363,download
fileTXT-size1mb,1048576,0.0,10.9,6047.73828125,6048.6796875,0.11044502258300781,upload
fileTXT-size1mbyHwABn8.txt,1048592,0.0,4.7,6042.30078125,6042.09375,0.12380814552307129,download
fileTXT-size5mb,5242880,0.0,8.7,6040.015625,6044.921875,0.13625121116638184,upload
fileTXT-size5mbphgNkRC.txt,5242896,0.0,9.4,6043.44921875,6063.03125,0.11962199211120605,download
fileTXT-size10mb,10485760,0.0,9.2,6041.13671875,6061.36328125,0.1267530918121338,upload
fileTXT-size10mbqrfstWG.txt,10485776,0.0,0.0,6046.4296875,6066.53125,0.1422717571258545,download
fileTXT-size100mb,104857600,3.1,6.1,6052.77734375,6214.90625,1.2158236503601074,upload
fileTXT-size100mbfAxTGrh.txt,104857616,0.0,8.5,6052.54296875,6261.2578125,0.48463892936706543,download
fileZIP-size1mb,1048576,0.0,7.0,6057.73828125,6055.578125,0.17222952842712402,upload
fileZIP-size1mbb7QaHDa.zip,1048592,0.0,12.1,6056.546875,6057.58984375,0.10505199432373047,download
fileZIP-size5mb,5242880,0.0,8.8,6037.33984375,6058.6796875,0.12784242630004883,upload
fileZIP-size5mbJILB3dn.zip,5242896,0.0,9.4,6048.50390625,6057.375,0.10932111740112305,download
fileZIP-size10mb,10485760,0.0,9.3,6043.44921875,6074.09375,0.241408109664917,upload
fileZIP-size10mbUBHdBv8.zip,10485776,0.0,6.2,6047.96484375,6066.59375,0.12359189987182617,download
fileZIP-size100mb,104857600,0.0,5.2,6052.80859375,6248.7109375,1.1170780658721924,upload
fileZIP-size100mbHkAMsUK.zip,104857616,0.0,9.5,6071.66015625,6273.3984375,0.4461796283721924,download
